id,timestamp,src_bytes,dst_bytes,duration,serror_rate,count_val,protocol,service,flag,prediction,severity,alert_type,zone
6145,2026-03-18 19:49:51,3129.0,2412.0,24.0,0.15,60.0,2,1,8,0,4.0,Yellow,North
6037,2026-03-18 19:40:58,475.0,145.0,11.0,0.09,32.0,2,1,4,0,1.84,Green,North
7833,2026-03-18 19:39:57,515.0,88.0,0.0,0.02,58.0,0,1,3,0,0.65,Green,North
9281,2026-03-18 19:39:44,382.0,599.0,4.0,0.05,27.0,0,0,9,0,1.61,Green,North
2661,2026-03-18 19:35:05,586.0,339.0,9.0,0.09,16.0,1,7,5,0,1.13,Green,South
3701,2026-03-18 19:29:51,24555.0,824.0,38.0,0.94,370.0,1,4,2,1,7.31,Red,South
9117,2026-03-18 19:27:06,3467.0,382.0,32.0,0.1,194.0,2,4,6,0,4.08,Yellow,South
8534,2026-03-18 19:20:53,783.0,26.0,3.0,0.08,5.0,0,0,0,0,1.4,Green,South
6967,2026-03-18 19:18:15,556.0,428.0,6.0,0.02,33.0,0,4,9,0,2.6,Green,East
10252,2026-03-18 19:09:00,593.0,577.0,0.0,0.03,28.0,0,4,8,0,1.56,Green,South
7687,2026-03-18 19:06:33,5070.0,1345.0,25.0,0.29,126.0,1,8,6,0,4.56,Yellow,North
4213,2026-03-18 19:01:21,33668.0,8472.0,55.0,0.92,394.0,1,5,2,1,6.78,Red,North
5073,2026-03-18 18:57:04,653.0,260.0,6.0,0.05,51.0,2,0,2,0,2.5,Green,East
6341,2026-03-18 18:55:22,2909.0,416.0,32.0,0.33,34.0,0,3,6,1,4.62,Yellow,South
9728,2026-03-18 18:51:22,3532.0,639.0,45.0,0.15,110.0,2,6,6,0,4.0,Yellow,North
5951,2026-03-18 18:47:30,565.0,113.0,1.0,0.02,56.0,1,2,4,0,1.93,Green,West
9185,2026-03-18 18:43:43,17395.0,7231.0,16.0,0.31,261.0,0,0,7,1,7.87,Red,East
6170,2026-03-18 18:41:50,1024.0,974.0,9.0,0.32,180.0,2,7,8,0,4.0,Yellow,North
6308,2026-03-18 18:38:37,408.0,472.0,13.0,0.1,56.0,1,1,1,0,1.23,Green,West
9455,2026-03-18 18:38:11,32908.0,7023.0,89.0,0.61,461.0,0,9,2,1,6.5,Red,East
7908,2026-03-18 18:33:59,25769.0,6239.0,43.0,0.94,152.0,0,8,5,1,8.63,Red,South
7745,2026-03-18 18:28:39,791.0,591.0,11.0,0.03,43.0,1,3,7,0,1.71,Green,East
6247,2026-03-18 18:28:37,2962.0,417.0,23.0,0.37,207.0,1,9,3,1,4.38,Yellow,North
2993,2026-03-18 18:21:34,2077.0,426.0,19.0,0.25,48.0,0,0,6,0,4.98,Yellow,North
5411,2026-03-18 18:16:58,5759.0,420.0,15.0,0.11,156.0,1,6,0,0,5.14,Yellow,West
6437,2026-03-18 18:14:52,677.0,464.0,8.0,0.04,50.0,2,2,6,0,2.29,Green,West
3192,2026-03-18 18:05:35,31098.0,5917.0,40.0,0.68,407.0,2,4,7,1,7.17,Red,West
8747,2026-03-18 17:52:54,4720.0,2006.0,29.0,0.27,36.0,2,3,4,0,4.98,Yellow,North
7421,2026-03-18 17:47:17,479.0,364.0,14.0,0.05,2.0,0,1,3,0,2.57,Green,West
10175,2026-03-18 17:44:11,895.0,546.0,11.0,0.04,47.0,0,3,1,0,0.79,Green,South
9491,2026-03-18 17:42:21,344.0,141.0,10.0,0.03,19.0,2,0,1,0,2.2,Green,West
3842,2026-03-18 17:34:22,188.0,149.0,0.0,0.02,52.0,1,0,4,0,2.81,Green,East
6654,2026-03-18 17:32:22,317.0,94.0,1.0,0.03,44.0,0,4,9,0,0.79,Green,West
3696,2026-03-18 17:28:37,201.0,458.0,1.0,0.04,26.0,0,3,7,0,2.61,Green,East
8912,2026-03-18 17:20:19,432.0,325.0,15.0,0.07,15.0,2,1,9,0,2.78,Green,West
6994,2026-03-18 17:20:11,2277.0,821.0,23.0,0.29,176.0,1,1,5,0,5.98,Yellow,West
6681,2026-03-18 17:17:26,830.0,190.0,11.0,0.07,4.0,0,5,1,0,1.47,Green,West
4875,2026-03-18 17:17:25,543.0,69.0,0.0,0.04,34.0,2,0,7,0,1.8,Green,West
2823,2026-03-18 16:52:36,20820.0,5869.0,18.0,0.37,478.0,2,8,1,1,7.35,Red,East
5235,2026-03-18 16:50:55,2616.0,2088.0,41.0,0.39,79.0,1,8,5,0,4.8,Yellow,West
3486,2026-03-18 16:47:45,23137.0,8253.0,3.0,0.89,378.0,0,2,4,1,6.5,Red,West
6801,2026-03-18 16:40:35,179.0,489.0,4.0,0.02,55.0,2,0,2,0,3.02,Green,West
6716,2026-03-18 16:39:52,6185.0,6089.0,6.0,0.99,115.0,0,3,7,1,7.16,Red,South
6987,2026-03-18 16:28:16,15564.0,3182.0,37.0,0.57,252.0,1,4,2,1,8.63,Red,North
3379,2026-03-18 16:27:55,17594.0,2897.0,18.0,0.33,149.0,2,4,4,1,7.97,Red,East
5576,2026-03-18 16:23:02,23093.0,7636.0,64.0,0.57,356.0,2,3,7,1,6.5,Red,South
2556,2026-03-18 16:21:47,25633.0,976.0,89.0,0.9,252.0,1,2,2,1,8.04,Red,West
8166,2026-03-18 16:19:13,29454.0,1807.0,8.0,0.89,511.0,1,6,2,1,7.13,Red,South
2788,2026-03-18 16:17:22,409.0,320.0,7.0,0.05,22.0,1,3,8,0,1.08,Green,North
3259,2026-03-18 16:13:43,670.0,80.0,4.0,0.03,50.0,1,5,3,0,1.65,Green,North
9755,2026-03-18 16:12:40,13509.0,7008.0,18.0,0.45,295.0,2,8,5,1,6.5,Red,North
2527,2026-03-18 16:10:17,8026.0,3713.0,90.0,0.92,511.0,2,0,3,1,6.95,Red,East
8769,2026-03-18 16:03:08,19251.0,3096.0,76.0,0.62,205.0,0,4,1,1,6.5,Red,East
2728,2026-03-18 15:58:07,18106.0,2192.0,42.0,0.72,101.0,1,1,7,1,7.02,Red,West
6240,2026-03-18 15:57:33,5718.0,730.0,30.0,0.38,204.0,0,3,3,0,4.0,Yellow,North
2812,2026-03-18 15:48:59,246.0,45.0,10.0,0.05,22.0,2,2,3,0,1.74,Green,South
9308,2026-03-18 15:42:53,5339.0,674.0,40.0,0.36,60.0,2,2,2,0,5.64,Yellow,East
4501,2026-03-18 15:37:08,5526.0,2216.0,3.0,0.14,97.0,1,6,2,0,4.81,Yellow,East
3289,2026-03-18 15:33:44,433.0,403.0,0.0,0.08,14.0,0,5,0,0,0.89,Green,South
5180,2026-03-18 15:26:48,4326.0,1298.0,41.0,0.37,119.0,1,3,7,1,5.29,Yellow,East
2570,2026-03-18 15:23:09,205.0,103.0,5.0,0.08,48.0,2,9,0,0,2.82,Green,North
9818,2026-03-18 15:19:08,33352.0,6382.0,43.0,0.39,413.0,1,2,3,1,7.28,Red,South
4338,2026-03-18 15:09:53,19044.0,1369.0,1.0,0.44,102.0,2,6,7,1,6.64,Red,West
9180,2026-03-18 15:09:02,56.0,397.0,10.0,0.05,44.0,2,2,4,0,3.02,Green,West
4568,2026-03-18 15:02:37,472.0,334.0,15.0,0.01,30.0,2,2,6,0,0.98,Green,West
8787,2026-03-18 14:59:14,32121.0,2272.0,35.0,0.95,358.0,2,5,1,1,8.31,Red,West
2920,2026-03-18 14:55:13,8345.0,902.0,60.0,0.85,341.0,1,8,6,1,7.24,Red,East
9343,2026-03-18 14:48:52,521.0,47.0,14.0,0.08,18.0,1,0,6,0,0.89,Green,West
4192,2026-03-18 14:43:47,28430.0,5285.0,37.0,0.53,401.0,1,5,4,1,8.74,Red,East
9555,2026-03-18 14:42:45,10516.0,6645.0,70.0,0.61,478.0,2,7,4,1,7.57,Red,North
6526,2026-03-18 14:36:36,299.0,150.0,14.0,0.09,1.0,0,4,5,0,2.41,Green,West
4738,2026-03-18 14:31:37,31543.0,3205.0,69.0,0.61,374.0,0,8,4,1,6.97,Red,North
9352,2026-03-18 14:31:27,32427.0,1228.0,6.0,0.81,448.0,0,0,7,1,6.89,Red,South
2828,2026-03-18 14:25:44,137.0,513.0,8.0,0.09,19.0,2,7,9,0,1.94,Green,South
4569,2026-03-18 14:23:28,3421.0,1958.0,17.0,0.29,170.0,1,4,5,0,4.45,Yellow,East
2724,2026-03-18 14:20:21,26126.0,3713.0,71.0,0.91,219.0,1,9,4,1,6.51,Red,East
5214,2026-03-18 14:19:06,2180.0,1630.0,2.0,0.29,140.0,2,7,7,0,5.23,Yellow,North
2565,2026-03-18 14:08:32,412.0,435.0,0.0,0.07,19.0,1,6,3,0,1.64,Green,North
3431,2026-03-18 14:06:58,4245.0,220.0,36.0,0.11,101.0,2,5,4,0,5.68,Yellow,North
2958,2026-03-18 14:06:22,3001.0,2455.0,12.0,0.35,20.0,1,3,4,0,4.0,Yellow,North
8682,2026-03-18 14:00:46,4297.0,1438.0,20.0,0.13,197.0,2,3,6,0,4.49,Yellow,East
9999,2026-03-18 13:51:10,859.0,361.0,0.0,0.05,1.0,2,8,2,0,2.21,Green,West
4945,2026-03-18 13:49:45,5542.0,2434.0,23.0,0.27,112.0,2,7,4,0,4.08,Yellow,East
5556,2026-03-18 13:40:53,492.0,453.0,12.0,0.07,43.0,1,4,8,0,2.69,Green,North
4411,2026-03-18 13:38:55,17882.0,2255.0,70.0,0.74,331.0,0,3,6,1,7.28,Red,North
9174,2026-03-18 13:31:42,564.0,328.0,8.0,0.05,41.0,0,6,5,0,2.84,Green,South
3376,2026-03-18 13:25:08,30040.0,3966.0,16.0,0.76,379.0,1,7,0,1,8.66,Red,East
8347,2026-03-18 13:22:35,817.0,1711.0,25.0,0.14,193.0,2,1,2,0,4.23,Yellow,East
3645,2026-03-18 13:16:50,733.0,46.0,7.0,0.03,6.0,2,9,3,0,1.66,Green,East
10121,2026-03-18 13:14:47,34932.0,1328.0,11.0,0.34,476.0,0,1,8,1,6.93,Red,East
6081,2026-03-18 13:13:50,773.0,417.0,4.0,0.1,49.0,0,2,2,0,2.24,Green,South
9220,2026-03-18 13:12:44,468.0,16.0,6.0,0.03,27.0,2,8,9,0,0.98,Green,East
5325,2026-03-18 13:12:00,530.0,512.0,10.0,0.08,6.0,0,5,9,0,2.25,Green,South
5996,2026-03-18 13:11:04,819.0,216.0,15.0,0.02,20.0,2,3,1,0,1.36,Green,East
6349,2026-03-18 13:09:14,157.0,244.0,11.0,0.03,7.0,0,9,2,0,1.84,Green,West
5532,2026-03-18 13:05:37,602.0,558.0,6.0,0.08,49.0,2,3,9,0,0.77,Green,North
10228,2026-03-18 13:05:07,5877.0,1120.0,12.0,0.21,60.0,0,8,4,0,4.0,Yellow,North
6103,2026-03-18 12:58:12,428.0,96.0,4.0,0.02,1.0,1,8,3,0,1.99,Green,West
9089,2026-03-18 12:56:52,3299.0,6748.0,44.0,0.77,474.0,1,3,8,1,7.2,Red,North
5565,2026-03-18 12:50:52,1020.0,2050.0,42.0,0.12,58.0,2,5,5,0,4.81,Yellow,West
7028,2026-03-18 12:49:24,4285.0,2048.0,27.0,0.32,128.0,1,0,8,0,4.89,Yellow,North
3739,2026-03-18 12:27:34,6261.0,6499.0,54.0,0.99,309.0,2,0,1,1,7.89,Red,North
7951,2026-03-18 12:16:11,32409.0,6080.0,16.0,0.98,172.0,0,0,8,1,6.56,Red,East
10473,2026-03-18 11:59:07,5141.0,7281.0,2.0,0.58,444.0,0,3,8,1,7.57,Red,North
5101,2026-03-18 11:55:21,5880.0,8298.0,24.0,0.84,399.0,1,6,3,1,7.75,Red,North
10363,2026-03-18 11:55:15,727.0,2081.0,6.0,0.39,34.0,2,6,5,1,5.19,Yellow,North
6589,2026-03-18 11:53:07,374.0,38.0,0.0,0.03,17.0,0,2,9,0,2.35,Green,North
8724,2026-03-18 11:48:55,2275.0,1144.0,7.0,0.27,121.0,2,8,1,1,4.72,Yellow,West
6484,2026-03-18 11:38:50,4968.0,2358.0,22.0,0.18,151.0,0,6,4,0,4.79,Yellow,South
10425,2026-03-18 11:30:53,4285.0,231.0,32.0,0.27,29.0,0,2,3,0,4.38,Yellow,East
8949,2026-03-18 11:27:30,3598.0,2361.0,20.0,0.13,95.0,0,2,8,0,5.23,Yellow,East
5218,2026-03-18 11:27:16,1379.0,359.0,21.0,0.14,136.0,2,0,2,0,4.0,Yellow,West
6460,2026-03-18 11:24:15,297.0,434.0,11.0,0.04,13.0,2,4,8,0,2.4,Green,East
5301,2026-03-18 11:23:08,76.0,526.0,8.0,0.01,14.0,1,1,3,0,1.26,Green,East
5514,2026-03-18 11:08:06,834.0,368.0,9.0,0.0,22.0,2,3,5,0,1.52,Green,West
7595,2026-03-18 11:05:15,791.0,405.0,8.0,0.02,29.0,0,3,1,0,1.57,Green,South
8710,2026-03-18 10:54:08,2871.0,1923.0,12.0,0.13,161.0,1,1,7,0,4.18,Yellow,South
2749,2026-03-18 10:52:01,5852.0,851.0,11.0,0.16,83.0,1,3,7,0,4.97,Yellow,South
2765,2026-03-18 10:34:49,554.0,339.0,9.0,0.04,58.0,1,7,8,0,1.95,Green,West
5115,2026-03-18 10:30:55,1601.0,260.0,30.0,0.27,163.0,1,6,9,0,4.0,Yellow,South
9525,2026-03-18 10:29:40,28214.0,7905.0,48.0,0.39,195.0,1,1,1,1,6.5,Red,East
2903,2026-03-18 10:29:10,587.0,650.0,45.0,0.39,92.0,2,2,9,1,4.0,Yellow,South
7911,2026-03-18 10:25:06,280.0,18.0,7.0,0.0,47.0,0,0,7,0,2.2,Green,East
9855,2026-03-18 10:16:26,215.0,537.0,6.0,0.05,54.0,0,7,8,0,2.15,Green,West
3527,2026-03-18 10:13:57,270.0,41.0,10.0,0.04,19.0,1,8,9,0,2.58,Green,East
4510,2026-03-18 10:12:24,595.0,205.0,12.0,0.04,13.0,0,1,5,0,2.48,Green,West
4652,2026-03-18 10:10:21,3324.0,2449.0,14.0,0.27,160.0,2,5,9,1,5.28,Yellow,West
6919,2026-03-18 09:54:28,418.0,181.0,6.0,0.05,36.0,2,6,4,0,1.75,Green,North
8545,2026-03-18 09:52:42,335.0,354.0,11.0,0.06,16.0,2,8,4,0,2.35,Green,North
6949,2026-03-18 09:50:41,397.0,202.0,1.0,0.06,21.0,1,8,5,0,1.69,Green,South
7235,2026-03-18 09:50:27,362.0,177.0,13.0,0.03,23.0,2,6,3,0,1.2,Green,West
4857,2026-03-18 09:49:35,674.0,8.0,11.0,0.01,51.0,1,7,5,0,1.37,Green,East
9964,2026-03-18 09:38:52,11743.0,3940.0,17.0,0.92,511.0,1,1,1,1,6.5,Red,North
9754,2026-03-18 09:35:33,542.0,126.0,9.0,0.06,58.0,1,2,0,0,1.45,Green,East
7170,2026-03-18 09:32:17,4895.0,261.0,8.0,0.16,186.0,0,6,8,1,5.02,Yellow,North
8062,2026-03-18 09:30:03,20481.0,4997.0,85.0,0.32,504.0,2,4,3,1,7.67,Red,West
3195,2026-03-18 09:29:49,4709.0,2346.0,33.0,0.26,198.0,2,2,3,0,4.01,Yellow,East
6680,2026-03-18 09:27:20,1820.0,609.0,23.0,0.27,128.0,1,4,3,1,5.02,Yellow,North
4095,2026-03-18 09:22:29,260.0,143.0,5.0,0.02,27.0,0,2,7,0,1.2,Green,North
9505,2026-03-18 09:21:50,214.0,560.0,1.0,0.09,52.0,2,2,4,0,0.76,Green,North
4725,2026-03-18 09:18:47,315.0,253.0,5.0,0.08,34.0,2,2,9,0,3.0,Green,North
9742,2026-03-18 09:17:12,10463.0,2226.0,30.0,0.47,188.0,1,1,6,1,8.45,Red,East
10416,2026-03-18 09:13:22,26525.0,4413.0,8.0,0.96,300.0,2,6,7,1,7.36,Red,West
4313,2026-03-18 09:08:42,538.0,496.0,0.0,0.09,54.0,1,9,2,0,1.5,Green,West
8155,2026-03-18 09:06:08,20631.0,820.0,88.0,0.61,163.0,2,2,6,1,6.5,Red,East
10481,2026-03-18 08:59:08,781.0,107.0,0.0,0.02,26.0,2,1,5,0,1.91,Green,South
3581,2026-03-18 08:53:27,8.0,313.0,14.0,0.09,24.0,1,2,9,0,2.87,Green,East
10118,2026-03-18 08:53:03,525.0,542.0,35.0,0.19,55.0,0,5,3,0,4.26,Yellow,West
7979,2026-03-18 08:38:12,289.0,403.0,11.0,0.02,28.0,2,6,4,0,3.08,Green,North
5175,2026-03-18 08:31:59,3707.0,1326.0,40.0,0.36,98.0,1,4,1,1,4.47,Yellow,West
4373,2026-03-18 08:31:42,25090.0,7214.0,1.0,0.59,288.0,1,1,6,1,7.74,Red,West
9033,2026-03-18 08:31:22,343.0,151.0,5.0,0.09,42.0,0,3,6,0,2.59,Green,West
3866,2026-03-18 08:23:45,22912.0,6512.0,80.0,0.67,411.0,2,5,7,1,7.4,Red,West
7989,2026-03-18 08:22:29,26920.0,3776.0,43.0,0.76,367.0,1,1,2,1,7.88,Red,East
10208,2026-03-18 08:03:03,541.0,140.0,5.0,0.03,17.0,0,3,1,0,2.29,Green,West
7213,2026-03-18 07:52:09,812.0,39.0,13.0,0.07,54.0,0,7,9,0,1.65,Green,South
10209,2026-03-18 07:50:53,2078.0,396.0,32.0,0.36,100.0,0,8,7,0,4.57,Yellow,South
9787,2026-03-18 07:46:07,25657.0,5491.0,49.0,0.32,127.0,1,0,5,1,6.56,Red,North
5106,2026-03-18 07:37:58,781.0,161.0,15.0,0.07,50.0,0,6,7,0,2.08,Green,West
10370,2026-03-18 07:33:28,1982.0,2394.0,36.0,0.19,35.0,1,6,6,1,5.4,Yellow,North
3030,2026-03-18 07:27:59,5707.0,2222.0,3.0,0.12,69.0,0,4,2,1,4.0,Yellow,West
3127,2026-03-18 07:25:11,20129.0,8899.0,64.0,0.42,349.0,0,5,4,1,7.26,Red,North
7479,2026-03-18 07:15:37,478.0,268.0,11.0,0.06,33.0,2,5,2,0,1.67,Green,West
8242,2026-03-18 07:09:54,404.0,158.0,0.0,0.01,17.0,1,8,0,0,1.1,Green,West
9612,2026-03-18 07:08:36,495.0,161.0,7.0,0.01,55.0,2,6,5,0,0.96,Green,North
10052,2026-03-18 06:54:24,864.0,594.0,4.0,0.09,52.0,0,3,5,0,2.5,Green,West
6677,2026-03-18 06:54:12,4579.0,2235.0,30.0,0.26,123.0,1,1,9,0,4.12,Yellow,South
3919,2026-03-18 06:53:26,2593.0,1409.0,22.0,0.22,105.0,2,4,6,0,4.42,Yellow,East
3147,2026-03-18 06:53:26,337.0,74.0,1.0,0.08,58.0,0,1,9,0,1.79,Green,North
9638,2026-03-18 06:35:41,5597.0,1200.0,20.0,0.66,229.0,1,4,1,1,6.64,Red,West
3181,2026-03-18 06:30:50,3185.0,848.0,33.0,0.12,51.0,2,9,7,0,4.71,Yellow,West
3826,2026-03-18 06:29:59,5078.0,390.0,31.0,0.21,187.0,2,2,7,0,4.78,Yellow,North
9156,2026-03-18 06:28:34,16695.0,6019.0,56.0,0.6,331.0,2,6,0,1,6.5,Red,East
10060,2026-03-18 06:22:39,1746.0,730.0,19.0,0.29,116.0,1,1,8,0,4.74,Yellow,North
9701,2026-03-18 06:19:23,2379.0,1379.0,15.0,0.11,159.0,2,5,5,1,4.03,Yellow,East
6918,2026-03-18 06:16:54,0.0,128.0,12.0,0.05,14.0,2,9,9,0,1.92,Green,East
3907,2026-03-18 06:13:39,896.0,544.0,10.0,0.02,43.0,0,8,3,0,2.06,Green,West
4203,2026-03-18 06:11:00,896.0,306.0,15.0,0.06,50.0,2,9,4,0,1.74,Green,North
8923,2026-03-18 06:10:01,139.0,561.0,7.0,0.07,46.0,2,0,5,0,1.37,Green,East
10090,2026-03-18 06:05:09,33903.0,3206.0,64.0,0.69,491.0,1,4,0,1,6.6,Red,West
4909,2026-03-18 06:00:19,1035.0,1544.0,25.0,0.36,115.0,0,0,5,1,4.0,Yellow,West
8913,2026-03-18 05:56:08,667.0,884.0,35.0,0.28,152.0,1,2,0,0,4.79,Yellow,West
6596,2026-03-18 05:54:56,27112.0,8086.0,73.0,0.71,309.0,2,4,8,1,6.82,Red,West
9374,2026-03-18 05:54:05,279.0,158.0,14.0,0.05,31.0,2,0,8,0,0.56,Green,West
